Strategy,Symbol,Trades,Wins,Losses,WinRate,TotalPnL%,AvgPnL%,MaxDD%,Sharpe,Best%,Worst%
TrendFollowingStrategy,DOGEUSDT,13,7,6,0.5385,0.5783,0.0462,1.7963,0.0741,0.6000,-0.6000
TrendFollowingStrategy,DOGEUSDT,13,7,6,0.5385,0.5783,0.0462,1.7963,0.0741,0.6000,-0.6000
TrendFollowingStrategy,DOGEUSDT,13,7,6,0.5385,0.5783,0.0462,1.7963,0.0741,0.6000,-0.6000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,0.5747,0.0400,2.9712,0.0645,0.6000,-0.6000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,0.5747,0.0400,2.9712,0.0645,0.6000,-0.6000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,0.5747,0.0400,2.9712,0.0645,0.6000,-0.6000
TrendFollowingStrategy,XRPUSDT,15,9,6,0.6000,0.5662,0.0400,3.1618,0.0563,0.6000,-0.8000
TrendFollowingStrategy,XRPUSDT,15,9,6,0.6000,0.5662,0.0400,3.1618,0.0563,0.6000,-0.8000
TrendFollowingStrategy,XRPUSDT,15,9,6,0.6000,0.5662,0.0400,3.1618,0.0563,0.6000,-0.8000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.4824,0.2500,1.1000,0.1309,1.6000,-1.1000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.4824,0.2500,1.1000,0.1309,1.6000,-1.1000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.4824,0.2500,1.1000,0.1309,1.6000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,10,5,0.6667,0.4526,0.0333,4.3279,0.0402,0.6000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,10,5,0.6667,0.4526,0.0333,4.3279,0.0402,0.6000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,10,5,0.6667,0.4526,0.0333,4.3279,0.0402,0.6000,-1.1000
TrendFollowingStrategy,AVAXUSDT,11,6,5,0.5455,0.4407,0.0455,4.3279,0.0414,1.0000,-1.1000
TrendFollowingStrategy,AVAXUSDT,11,6,5,0.5455,0.4407,0.0455,4.3279,0.0414,1.0000,-1.1000
TrendFollowingStrategy,AVAXUSDT,11,6,5,0.5455,0.4407,0.0455,4.3279,0.0414,1.0000,-1.1000
TrendFollowingStrategy,LINKUSDT,11,6,5,0.5455,0.4407,0.0455,3.2638,0.0414,1.0000,-1.1000
TrendFollowingStrategy,LINKUSDT,11,6,5,0.5455,0.4407,0.0455,3.2638,0.0414,1.0000,-1.1000
TrendFollowingStrategy,LINKUSDT,11,6,5,0.5455,0.4407,0.0455,3.2638,0.0414,1.0000,-1.1000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.3940,0.2000,0.6000,0.1768,1.0000,-0.6000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.3940,0.2000,0.6000,0.1768,1.0000,-0.6000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.3940,0.2000,0.6000,0.1768,1.0000,-0.6000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,0.3483,0.0308,3.1618,0.0329,1.0000,-0.8000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,0.3483,0.0308,3.1618,0.0329,1.0000,-0.8000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,0.3483,0.0308,3.1618,0.0329,1.0000,-0.8000
TrendFollowingStrategy,MATICUSDT,7,3,4,0.4286,0.3382,0.0571,3.2638,0.0396,1.6000,-1.1000
TrendFollowingStrategy,MATICUSDT,7,3,4,0.4286,0.3382,0.0571,3.2638,0.0396,1.6000,-1.1000
TrendFollowingStrategy,MATICUSDT,7,3,4,0.4286,0.3382,0.0571,3.2638,0.0396,1.6000,-1.1000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,0.3382,0.0571,4.3279,0.0396,1.6000,-1.1000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,0.3382,0.0571,4.3279,0.0396,1.6000,-1.1000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,0.3382,0.0571,4.3279,0.0396,1.6000,-1.1000
TrendFollowingStrategy,BTCUSDT,8,5,3,0.6250,0.1924,0.0269,1.6785,0.0333,0.6000,-1.1000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.1920,0.1000,0.8000,0.0786,1.0000,-0.8000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.1920,0.1000,0.8000,0.0786,1.0000,-0.8000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.1920,0.1000,0.8000,0.0786,1.0000,-0.8000
TrendFollowingStrategy,MATICUSDT,7,2,5,0.2857,0.1658,0.0286,2.3785,0.0266,1.6000,-0.6000
TrendFollowingStrategy,MATICUSDT,7,2,5,0.2857,0.1658,0.0286,2.3785,0.0266,1.6000,-0.6000
TrendFollowingStrategy,MATICUSDT,7,2,5,0.2857,0.1658,0.0286,2.3785,0.0266,1.6000,-0.6000
